MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED,CONTROL,UPLIFT,PCT_UPLIFT
i2c1509134a,"JS Magazine1, TV Wall1",2,Grow spend per existing customer,SPEC,Offer,2,4.633273,4.785204,-0.151932,-0.03175
i2c1510047a,"Six Sheets1, Instore Sampling2",1,Acquire new customers,New_custs,Offer,2,1220,738,482,0.653117
i2c1510047a,"Instore Sampling1, Six Sheets1",3,Grow total units,Units,Offer,2,6846,3910.187155,2935.812845,0.750811
i2c1510047a,"Instore Sampling1, Six Sheets1",3,Grow total units,Units,Brand,3,9080,9392.415549,-312.415549,-0.033263
i2c1510047a,JS Magazine1,3,Grow total units,Units,Offer,2,2980,1741.350257,1238.649743,0.711316
i2c1510047a,"Instore Sampling1, Six Sheets1, Instore Sampling2",3,Grow total units,Units,Brand,2,2336,1466.97282,869.02718,0.592395
i2c1510047a,JS Magazine2,3,Grow total units,Units,Brand,3,372,397.810389,-25.810389,-0.064881
i2c1510047a,"JS Magazine1, Six Sheets1",3,Grow total units,Units,Offer,2,924,476.441181,447.558819,0.939379
i2c1507187a,"Six Sheets1, TV Wall1",3,Retain new customers (trialists),New_trialists,Brand,2,4334,3553.521304,780.478696,0.219635
i2c1507187a,"Entrance Gates1, Six Sheets1, TV Wall1",0,Overview,Units,Brand,2,24408,19831.76219,4576.237813,0.230753
i2c1510047a,Total,0,Overview,Known_spend,Offer,3,67937.99,63937.58214,4000.407859,0.062567
i2c1507187a,"Entrance Gates1, TV Wall1",1,Grow frequency of shop per customer,FOP,Brand,3,1.235282,1.242931,-0.007649,-0.006154
i2c1507187a,Entrance Gates1,1,Grow frequency of shop per customer,FOP,Offer,3,1.125929,1.141127,-0.015198,-0.013318
i2c1509134a,Six Sheets1,2,Grow spend per existing customer,SPEC,Offer,2,4.027368,3.991724,0.035644,0.00893
i2c1509134a,"Six Sheets1, TV Wall1",3,Grow total category,Known_spend,Aisle,2,331532.95,287990.1559,43542.79409,0.151195
i2c1510047a,"Six Sheets1, Instore Sampling3",1,Acquire new customers,New_custs,Offer,2,1389,836.043184,552.956816,0.661397
i2c1510047a,Instore Sampling1,3,Grow total units,Units,Offer,2,481,297.841095,183.158905,0.614955
i2c1510047a,Instore Sampling1,3,Grow total units,Units,Brand,3,2661,2415.953872,245.046128,0.101428
i2c1509134a,JS Magazine1,0,Overview,Units,Offer,3,2537,2329.062259,207.937741,0.08928
i2c1507187a,"Entrance Gates1, TV Wall1",0,Overview,Units,Offer,3,15187,13351.73404,1835.265963,0.137455
i2c1507187a,"Six Sheets1, TV Wall1",3,Retain new customers (trialists),New_trialists,Offer,2,472,374.537088,97.462912,0.260222
i2c1510047a,"JS Magazine1, Six Sheets1, JS Magazine2",1,Acquire new customers,New_custs,Offer,2,492,250,242,0.968
i2c1509134a,Six Sheets1,2,Grow spend per existing customer,SPEC,Brand,3,5.658968,5.512722,0.146246,0.026529
i2c1509134a,JS Magazine1,2,Grow spend per existing customer,SPEC,Brand,2,5.772176,5.944012,-0.171836,-0.028909
i2c1507187a,"Entrance Gates1, TV Wall1",0,Overview,Known_spend,Brand,2,185377.71,159688.2484,25689.46161,0.160873
i2c1510047a,"Six Sheets1, Instore Sampling2",0,Overview,Known_spend,Brand,3,6630.18,6759.752254,-129.572254,-0.019168
i2c1510047a,Total,3,Grow total units,Units,Brand,3,74240,76222.2024,-1982.202398,-0.026006
i2c1510047a,"Instore Sampling1, Six Sheets1, Instore Sampling3",3,Grow total units,Units,Brand,3,1325,1009.938101,315.061899,0.311962
i2c1509134a,Six Sheets1,1,Retain existing customers,Existing_custs,Offer,2,1178,1183.087282,-5.087282,-0.0043
i2c1509134a,Six Sheets1,2,Grow spend per existing customer,SPEC,Brand,2,4.211056,4.038016,0.17304,0.042853
i2c1510047a,"Instore Sampling1, Six Sheets1, Instore Sampling3",1,Acquire new customers,New_custs,Brand,2,958,509,449,0.882122
i2c1510047a,"Instore Sampling1, Six Sheets1, Instore Sampling2",1,Acquire new customers,New_custs,Brand,3,57,27,30,1.111111
i2c1510047a,JS Magazine1,1,Acquire new customers,New_custs,Offer,3,115,55,60,1.090909
i2c1510047a,Six Sheets1,3,Grow total units,Units,Brand,2,90102,75123.62183,14978.37817,0.199383
i2c1510047a,"Six Sheets1, Instore Sampling2",3,Grow total units,Units,Offer,3,1794,1799.948862,-5.948862,-0.003305
i2c1509134a,Total,1,Retain existing customers,Existing_custs,Brand,3,64405,62129.58591,2275.41409,0.036624
i2c1509134a,Other,0,Overview,Known_spend,Offer,2,5092,4158.80943,933.19057,0.224389
i2c1509134a,Total,0,Overview,Known_spend,Brand,3,921775.75,818475.9632,103299.7868,0.12621
i2c1507187a,"Entrance Gates1, TV Wall1",2,Acquire new customers,New_custs,Brand,2,24973,19383.29832,5589.701677,0.288377
i2c1507187a,TV Wall1,3,Retain new customers (trialists),New_trialists,Offer,2,3701,3019.248274,681.751726,0.225802
i2c1509134a,"Six Sheets1, TV Wall1",0,Overview,Units,Brand,2,18303,17460.83108,842.168922,0.048232
i2c1509134a,TV Wall1,0,Overview,Units,Offer,3,89472,85705.01618,3766.983823,0.043953
i2c1507187a,Six Sheets1,0,Overview,Known_spend,Offer,2,7016,6307.675132,708.324868,0.112296
i2c1510047a,"JS Magazine1, Six Sheets1",0,Overview,Known_spend,Brand,2,10236.25,4938.821372,5297.428628,1.07261
i2c1510047a,"JS Magazine1, Six Sheets1",3,Grow total units,Units,Offer,3,483,362.940954,120.059046,0.330795
i2c1507187a,Six Sheets1,2,Acquire new customers,New_custs,Brand,2,7089,6522.068105,566.931895,0.086925
i2c1507187a,"Entrance Gates1, TV Wall1",2,Acquire new customers,New_custs,Brand,3,4197,3192.378528,1004.621472,0.314694
i2c1509134a,JS Magazine1,0,Overview,Known_spend,Brand,2,16125.6,13467.86174,2657.738263,0.197339
i2c1510047a,"Instore Sampling1, Six Sheets1, Instore Sampling2",0,Overview,Known_spend,Brand,2,4770.87,2702.220225,2068.649775,0.765537
i2c1510047a,Instore Sampling1,0,Overview,Known_spend,Brand,3,4442.34,3917.127289,525.212711,0.134081
i2c1510047a,JS Magazine2,0,Overview,Known_spend,Brand,3,177.45,187.221795,-9.771795,-0.052194
i2c1510047a,Instore Sampling1,1,Acquire new customers,New_custs,Brand,3,50,41.005475,8.994525,0.219349
i2c1510047a,"JS Magazine1, Six Sheets1",1,Acquire new customers,New_custs,Offer,2,375,192,183,0.953125
i2c1510047a,Instore Sampling3,1,Acquire new customers,New_custs,Offer,2,131,65,66,1.015385
i2c1509134a,"Six Sheets1, TV Wall1",1,Retain existing customers,Existing_custs,Brand,3,8898,8421.384403,476.615597,0.056596
