MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED
"i2c1508250a","Six Sheets1",3,"Grow awareness","OTS         ","Offer",2,6040734.000000
"i2c1509106a","Six Sheets1",3,"Grow awareness","OTS - unique","Offer",2,5552047.000000
"i2c1508169a2","Instore Sampling1",3,"Grow awareness","OTS         ","Offer",2,893160.000000
"i2c1509014a","Instore Sampling2",3,"Grow awareness","OTS - unique","Offer",2,4232.000000
"i2c1508169a2","Instore Sampling1",3,"Grow awareness","OTS - unique","Offer",2,490570.000000
"i2c1508186a","Trolleys1",1,"Grow awareness","OTS - unique","Offer",2,1950769.000000
"i2c1508179a","Instore Sampling1",1,"Grow awareness","OTS - unique","Offer",2,103479.000000
"i2c1601020a","Instore Sampling1",1,"Grow awareness","OTS         ","Offer",2,412369.000000
"i2cLYNX777","TV Wall1",3,"Grow awareness","OTS         ","Offer",2,26905677.000000
"i2c1511028a","Six Sheets1",2,"Grow awareness","OTS - unique","Offer",2,560807.000000
"i2c1508204a","Six Sheets1",2,"Grow awareness","OTS         ","Offer",2,6677093.000000
"i2c1535KE0","JS Magazine1",5,"Grow awareness","OTS - unique","Offer",2,260729.000000
"i2c1509030a","JS Magazine1",1,"Grow awareness","OTS         ","Offer",2,264830.000000
"i2c1508040a","Six Sheets1",2,"Grow awareness","OTS - unique","Offer",2,3411432.000000
"i2c1507076a","Instore Sampling2",3,"Grow awareness","OTS         ","Offer",2,124650.000000
"i2c1507076a","Instore Sampling1",3,"Grow awareness","OTS - unique","Offer",2,123361.000000
"i2c1509030a","Total",1,"Grow awareness","OTS - unique","Offer",2,1801384.000000
"i2c1510020a2","Trolleys1",1,"Grow awareness","OTS         ","Offer",2,7968824.000000
"i2c1510020a2","Trolleys2",1,"Grow awareness","OTS - unique","Offer",2,1565531.000000
"i2c1507141a","Trolleys1",2,"Grow awareness","OTS         ","Offer",2,4388135.000000
"i2c1509014a","Entrance Gates1",3,"Grow awareness","OTS - unique","Offer",2,1733677.000000
"i2c1508186a2","Trolleys1",1,"Grow awareness","OTS - unique","Offer",2,1950769.000000
"i2c1510020a","Entrance Gates1",1,"Grow awareness","OTS         ","Offer",2,10484120.000000
"i2c1507161a","Car Park Posters1",1,"Grow awareness","OTS         ","Offer",2,11194834.000000
"i2c1510108a","Instore Sampling2",1,"Grow awareness","OTS - unique","Offer",2,175985.000000
"i2c1510046a","Instore Sampling2",1,"Grow awareness","OTS - unique","Offer",2,168803.000000
