MASTER_CAMPAIGN_ID,CAMPAIGN_NAME,SUPPLIER,BRAND,CATEGORY,NPD,MEDIA_COST
"i2c1511103a","C15_Pepsico_Naked_6 sheets","PepsiCo","Naked","WORLD FOODS",0,32250
"i2c1507141a","Danone - Activia Q3 Support","Danone Ltd","Activia","DAIRY",0,32750
"i2c1509030a","Lindt MCC Six Sheets + Evaluation ","Lindt & Sprungli (UK) Ltd","Lindt Master Chocolatier Collection","IMPULSE FOOD",0,34250
"i2c1510006a","General Mills - Parampara Wave 2","General Mills Sarl","Parampara","CANNED & PACKAGED",0,34454
"i2c1508061a","Mini Cravings launch","Bel UK","THE LAUGHING COW","DAIRY",1,34460
"i2c1510046a","Lindor Christmas Sampling ","Lindt & Sprungli (UK) Ltd","Lindt","IMPULSE FOOD",0,35888
"i2c1510047a","Lindt - Christmas 2015","Lindt & Sprungli (UK) Ltd","Lindor","IMPULSE FOOD",0,37600
"i2c1509018a","Cadbury Hot Cakes NPD","Premier Foods Group Ltd","Cadbury","BAKERY & CAFES",0,38050
"i2c1507151a","PepsiCo - Walkers Bring It Back","PepsiCo","Walkers","IMPULSE FOOD",0,38450
"i2c1508203a","Unilever - Snog larger format NPD","Unilever UK Ltd","Snog","FROZEN FOOD",0,38633
"i2c1510052a","FloraProActiv_Relaunch Wave 2","Unilever UK Ltd","Flora Pro.activ","DAIRY",0,38964
"i2c1510020a","Napolina50thAnniversaryCosyNightsIn","PrincesLtd","Napolina","CANNED & PACKAGED",0,39900
"i2c1510020a2","Napolina50thAnniversaryCosyNightsIn","PrincesLtd","Napolina","CANNED & PACKAGED",0,39900
"i2c1507095a","Colgate Palmolive - Palmolive","Colgate Palmolive Uk Ltd","Palmolive","BABY & BEAUTY",0,40040
"i2c1507209a","Milk Tray 30th Anniversary","Mondelez UK Limited","Cadbury","IMPULSE FOOD",0,40357
"i2c1510003a1","P&G Beauty Xmas","Procter & Gamble UK","Olay","BABY & BEAUTY",0,40600
"i2cOLAYV2","P&G Beauty Xmas","Procter & Gamble UK","Olay","BABY & BEAUTY",0,40600
"i2cOLAYV4","P&G Beauty Xmas","Procter & Gamble UK","Olay","BABY & BEAUTY",0,40600
"i2c1508098a","Caffe Latte sampling","Emmi UK Ltd","Caffe Latte","DAIRY",0,41158
"i2c1508257a","Jack Daniels Christmas Magazine Feature","Bacardi Brown Forman","Jack Daniels","BEERS, WINES & SPIRITS",0,41217
"i2c1508257aS","Southern Comfort Christmas Magazine Feature","Bacardi Brown Forman","Southern Comfort","BEERS, WINES & SPIRITS",0,41217
"i2c1509134a","SCA Plenty Genius Award","SCA Hygiene Products UK Ltd","Plenty","HOUSEHOLD & PETCARE",0,42050
