MASTER_CAMPAIGN_ID,MEDIA_TYPE,EXPOSED
"i2cFAIDHDWV4","Six Sheets1, Six Sheets2",944990
"TEST_JD","Six Sheets1",561316
"TEST_JD","Other",37191
"i2c1504065aM","JS Magazine",129019
"i2c1508179a","Other",93496
"i2c1510108a","Instore Sampling2",47633
"i2c1511015a","Entrance Gates1, Six Sheets1, Trolleys1, TV Wall1, Six Sheets2",278647
"i2c1510020a","JS Magazine1",94295
"i2c1511135a","Total",1211952
"i2c1504021aM","Total",129019
"i2c1509134a","Total",4653211
"i2c1509142a","Total",142137
"i2c1601020a","Total",272038
"i2c1510046a","Total",382166
"i2c1508265a","Total",2213533
"i2c1506058aM","Total",115425
"i2c1510054a2","Total",306811
"i2c1509107a2","Total",1430370
"i2c1509103a","Total",697884
"i2cLYNX111","Total",1375780
"i2c1507141a","Total",908923
"i2c1509107a4","Six Sheets1",13143
"i2c1509107a3","Six Sheets1, Six Sheets2",965194
"i2c1510116a","Other",24294
"i2c1510116a","Instore Sampling2",92877
"i2c1509103a","Instore Sampling3",226390
"i2c1511005a","Entrance Gates1, Instore Sampling1",50921
"i2c1511005a","Instore Sampling1",123019
"i2c1506032M1","JS Magazine",139439
"i2c1509116a","Instore Sampling1, Instore Sampling3",15948
"i2cLYNX111","TV Wall1",1375780
"i2c1508265a","Six Sheets2",197423
"i2c1507156a","Six Sheets1",548475
"i2c1511015a","Six Sheets1, TV Wall1, Six Sheets2",417573
"TEST_JD2","Milk Media1",290497
"TEST_JD2","Milk Media1, Six Sheets2",71449
"i2c1509016a2","JS Magazine1, Six Sheets1",62511
"i2c1511069a","Total",138225
"i2c1507210a","Total",226154
"i2c1509107aF","Six Sheets1",1072663
"i2cHSV2","Six Sheets1",1740188
"i2c1507212a","Other",243780
"i2c1511015a","Entrance Gates1, Six Sheets1",94213
"i2c1511015a","Entrance Gates1, Trolleys1, TV Wall1, Six Sheets2",111308
"i2c1510052a","Instore Sampling2",312417
"i2c1510020a2","JS Magazine1, JS Magazine2",44176
"i2c1516KC0M1","Total",115425
"i2c1509004a2","Total",220029
"i2c1516KC0M","Total",139439
"i2c1509030a","Total",1527392
"i2cFLASHV4","Total",1057364
"i2c1509107aA","Six Sheets1, Six Sheets2, Six Sheets3",93984
"i2c1509107a5","Six Sheets2",303208
"TEST_JD","JS Magazine1, Six Sheets2",28664
"i2c1508223a","Instore Sampling3",86385
"i2c1507141a","Trolleys1",130696
"i2c1511015a","Six Sheets1, TV Wall1",290539
"i2c1508204a","Six Sheets1",1623266
"i2c1509048a","Instore Sampling1",250924
"i2c1507181a","Total",1758504
"i2c1509125a2","Six Sheets1, TV Wall1, Instore Sampling4",11555
"i2c1509125a2","Other",94479
"i2c1508223a","Other",65136
"i2c1511015a","Entrance Gates1, Six Sheets1, Six Sheets2",38134
"TEST_JD2","JS Magazine1",189687
"i2c1507156a","TV Wall1",3300872
"i2c1507156a","Total",4762420
"i2c1511028a","Total",499601
"i2c1509018a","Total",1701100
"i2c1510003aH","Total",1740195
"i2c1509111a","Total",4981920
"i2c1508127a","Total",331934
"i2c1510020a2","Total",3280105
"i2c1508013a","Total",344566
"i2cARIALV4","Total",817945
"i2cBRAUNV2","Total",2116660
"i2c1509014a","Total",1944515
"i2c1508061a","Total",405661
"i2c1508107a","JS Magazine1",113827
"i2c1509134a","Six Sheets1",264647
"i2c1507173a","Instore Sampling",967600
"i2cFABREV2","Six Sheets1",520160
"i2cLYNX222","TV Wall1",1928647
"i2c1507187a","Entrance Gates1",337250
"i2c1508257a","Total",220031
"i2c1508169a2","Total",444077
"i2c1509124a","Total",561206
"i2c1509048a","Total",250924
"i2c1508146a","Total",515694
"i2c1507076a","Other",71688
"i2c1507204a","Instore Sampling1",271502
"i2cORALBV2","Entrance Gates1",370029
"i2c1509125a2","TV Wall1, Instore Sampling4",39862
"i2c1509070a","Instore Sampling1",169999
"TEST_JD2","JS Magazine1, Six Sheets2",28664
"i2c1510047a","Instore Sampling3",16853
"i2c1508127a","JS Magazine2",71896
"i2c1510052a","Instore Sampling1",240718
"i2c1509069a","Instore Sampling1",113480
"i2c1510007a","Total",818833
"i2c1510051a","Total",234471
"i2cORALBV4","Total",2037199
"i2c1509029a","Total",285874
"i2c1507210a","Other",111462
"i2c1509018a","Six Sheets1",1430268
"i2cVENUSV2","Six Sheets1",1336735
"i2cLENORV2","Six Sheets1",308929
"i2cORALBV4","Six Sheets1",869822
"i2c1509125a2","Six Sheets1",427967
"i2c15FAINB","Six Sheets1",1062486
"i2c1509070a","JS Magazine1",119194
"i2c1507187a","Entrance Gates1, Six Sheets1, TV Wall1",165625
"i2c1510052a","Other",42817
"i2c1509016a","Six Sheets1",502710
"i2c1509107aF","Total",1072663
"i2c1509107aA","Six Sheets2",794728
"i2cORALBV2","Entrance Gates1, Six Sheets2",33217
"i2c1510003a1","Entrance Gates1",914242
"i2c1510003a2","Six Sheets1, Six Sheets2",303681
"i2c1510020a2","Entrance Gates1, JS Magazine1",16204
"i2c1510003aG","Total",1459932
"i2c1509125a2","Total",4805659
"i2c1509067a","Total",105468
"i2cLYNX222","Total",1928647
"i2c1510108a","Total",4515459
"i2c1507074aM","Total",115425
"i2c1509107aL","Six Sheets1, Six Sheets2, Six Sheets3",93957
"i2c1509103a","Instore Sampling1, Instore Sampling3",47186
"i2c1504021aM","JS Magazine",129019
"i2c1509067a","Other",105468
"i2c1510007a","Six Sheets1",636217
"i2c1510020a","Trolleys2",631248
"i2c1510020a","JS Magazine1, JS Magazine2, JS Magazine3",44175
"i2c1510020a","Trolleys1, Trolleys2",534413
"i2cFAINBV2","Total",685770
"i2c1511005a","Total",2597262
"TEST_JD2","JS Magazine1, Milk Media1",11783
"i2c1510047a","Instore Sampling1, Six Sheets1, Instore Sampling2",12015
"i2c1510007a","Instore Sampling1",118938
"i2c1510020a","JS Magazine1, Trolleys1",12032
"i2c1510020a2","JS Magazine1, Trolleys1",12033
"i2cLENUNV2","Total",817942
"i2c1507076a","JS Magazine1",118796
"i2c1511005a","Entrance Gates1",1362382
"i2c1509125a2","TV Wall1, Instore Sampling3",22722
"i2c1505029aM","JS Magazine",209641
"i2c15FAINB","Six Sheets1, TV Wall1",331060
"i2c1508265a","Six Sheets3",220591
"i2c1510047a","Instore Sampling1, Six Sheets1, Instore Sampling3",16050
"i2c1507156a","Six Sheets1, TV Wall1",751720
"i2c1508257a","JS Magazine1",220031
"i2c1509124a","Six Sheets1",561206
"i2c1507173a","Total",967600
"i2c1509018a","JS Magazine1",119756
"i2c1509103a","Other",42304
