MASTER_CAMPAIGN_ID,PERIOD,PERIOD_DATE
"i2c1512047a",1,2015-09-16
"i2c1512047a",2,2015-12-08
"i2c1512047a",3,2015-12-09
"i2c1512047a",4,2015-12-29
"i2c1512047a",5,2015-12-30
"i2c1512047a",6,2016-02-09
"i2c1510074a",1,2015-09-26
"i2c1510074a",2,2015-12-18
"i2c1510074a",3,2015-12-19
"i2c1510074a",4,2015-12-19
"i2c1510074a",5,2015-12-20
"i2c1510074a",6,2016-01-30
"i2c1505074aM",1,2015-02-09
"i2c1505074aM",2,2015-05-03
"i2c1505074aM",3,2015-05-04
"i2c1505074aM",4,2015-06-02
"i2c1505074aM",5,2015-06-03
"i2c1505074aM",6,2015-08-25
"i2c1508127a",1,2015-06-01
"i2c1508127a",2,2015-08-23
"i2c1508127a",3,2015-08-24
"i2c1508127a",4,2015-10-27
"i2c1508127a",5,2015-10-28
"i2c1508127a",6,2015-12-08
"i2c1510047a",1,2015-08-04
"i2c1510047a",2,2015-10-26
"i2c1510047a",3,2015-10-27
"i2c1510047a",4,2015-12-24
"i2c1510047a",5,2015-12-25
"i2c1510047a",6,2016-01-21
"i2c1508040a",1,2015-05-18
"i2c1508040a",2,2015-08-09
"i2c1508040a",3,2015-08-10
"i2c1508040a",4,2015-08-23
"i2c1508040a",5,2015-08-24
"i2c1508040a",6,2015-10-04
"i2cLYNX333",1,2015-11-15
"i2cLYNX333",2,2016-02-06
"i2cLYNX333",3,2016-02-07
"i2cLYNX333",4,2016-02-27
"i2cLENUNV4",1,2015-08-10
"i2cLENUNV4",2,2015-11-01
"i2cLENUNV4",3,2015-11-02
"i2cLENUNV4",4,2015-11-15
"i2cLENUNV4",5,2015-11-16
"i2cLENUNV4",6,2015-12-27
"i2cFLASHV4",1,2015-08-10
"i2c1510054a",1,2015-09-05
"i2cFLASHV4",2,2015-11-01
"i2c1510054a",2,2015-11-27
"i2cFLASHV4",3,2015-11-02
"i2c1510054a",3,2015-11-28
"i2cFLASHV4",4,2015-11-15
"i2c1510054a",4,2015-11-30
"i2cFLASHV4",5,2015-11-16
"i2c1510054a",5,2015-12-01
"i2cFLASHV4",6,2015-12-27
"i2c1510054a",6,2016-01-11
"i2c1508257a",1,2015-08-04
"i2c1508257a",2,2015-10-26
"i2c1508257a",3,2015-10-27
"i2c1508257a",4,2015-12-01
"i2c1508257a",5,2015-12-02
"i2c1508257a",6,2016-01-12
"i2cOLAYV2",1,2015-08-24
"i2c1508204a",1,2015-06-15
"i2cOLAYV2",2,2015-11-15
"i2c1508204a",2,2015-09-06
"i2cOLAYV2",3,2015-11-16
"i2c1508204a",3,2015-09-07
"i2cOLAYV2",4,2015-12-08
"i2c1508204a",4,2015-09-20
"i2c1508204a",5,2015-09-21
"i2c1508204a",6,2015-11-01
"i2c1509107aL",1,2015-08-10
"i2c1509107aL",2,2015-11-01
"i2c1509107aL",3,2015-11-02
"i2c1509107aL",4,2015-11-15
"i2c1512024a",1,2015-10-07
"i2c1512024a",2,2015-12-29
"i2c1512024a",3,2015-12-30
"i2c1512024a",4,2016-01-19
"i2c1512024a",5,2016-01-20
"i2c1512024a",6,2016-03-01
"i2c1509107a4",1,2015-07-13
