MASTER_CAMPAIGN_ID,SKU_NAME
"i2c1508013a","QUAKER WHOLESOME CRNCH PECAN&BRAZIL 550G"
"i2c1508013a","QUAKER WHOLESOME CRUNCH GOJI & BBRY 550G"
"i2c1508034a","HORLICKS LIGHT MALT 500G"
"i2c1508034a","HORLICKS ORIGINAL MALT 500G"
"i2c1508040a","ALWAYS ULTRA PADS NORMAL 20"
"i2c1508042a","MAGNERS CIDER 12X440ML"
"i2c1508042a","MAGNERS IRISH CIDER 568ML"
"i2c1508042a","MAGNERS ORIGINAL 8X500ML"
"i2c1508042a","MAGNERS PEAR CIDER 568ML"
"i2c1508061a","MINI CRAVINGS CHEESE SELECTION 125G"
"i2c1508061a","MINI CRAVINGS FLAVOURED CHEESE 125G"
"i2c1508098a","EMMI CAFFE LATTE CAPPUCCINO 230ML"
"i2c1508098a","EMMI ICED CAFFE LATTE SKINNY 230ML"
"i2c1508107a","BRANSTON BEANS FRIDGEPACK 1KG"
"i2c1508107a","BRANSTON BEANS RSS FRIDGEPACK 1KG"
"i2c1508107a","BRANSTON BIGGA BAKED BEANS 410G"
"i2c1508107a","BRANSTON SPAGHETTI 395G"
"i2c1508107a","BRANSTON SPAGHETTI LOOPS 395G"
"i2c1508107a","C&B BRANSTON BAKED BEANS 220G"
"i2c1508107a","C&B BRANSTON BAKED BEANS 410G"
"i2c1508107a","C&B BRANSTON RED S&S BAKED BEANS 410G"
"i2c1508118a","AQUAFRESH BIG TEETH TOOTHPASTE 50ML"
"i2c1508118a","AQUAFRESH LITTLE TEETH TOOTHPASTE 50ML"
"i2c1508124a","POT NOODLE SAUSAGE CASSEROLE 90G"
"i2c1508127a","NCG SKINNY GOAN SPICED CHICKEN SOUP 600G"
"i2c1508127a","NCG SKINNY GOAN SPICED CHK & LENTILS400G"
"i2c1508127a","NCG SKINNY LEBANESE CARROT SOUP 600G"
"i2c1508127a","NCG SKINNY MINESTRONE 600G"
"i2c1508127a","NCG SKINNY QUINOA CHILLI & LIME SOUP600G"
"i2c1508127a","NCG SKINNY SOUPER GREENS & GRAINS 400G"
"i2c1508127a","NCG SKINNY THAI SWEETCORN CHOWDER 600G"
"i2c1508127a","NCG SKINNY TOMATO & LENTIL SOUP 600G"
"i2c1508127a","NCG TOH CHKN, LEEK & PINHEAD OATS 600G"
"i2c1508127a","NCG TOH MULTIGRAIN RISOTTO 600G"
"i2c1508127a","NCG TOH TOMATO & SPINACH 600G"
"i2c1508137a","ECHO FALLS FRUIT PEACH & MANGO 75CL"
"i2c1508137a","ECHO FALLS FRUIT RASPBERRY & CASSIS 75CL"
"i2c1508137a","ECHO FALLS FRUIT ROSÉ BERRIES 75CL"
"i2c1508137a","ECHO FALLS FUSION SUMR BERRIES 18.7CL"
"i2c1508146a","GLADE CANDLE LUMINOUS SPICED APPLE"
"i2c1508146a","GLADE CANDLE VELVET TEA PARTY"
"i2c1508146a","GLADE CANDLE WITH LOVE"
"i2c1508169a2","GOODY GOOD STUFF COLA BREEZE 100G"
"i2c1508169a2","GOODY GOOD STUFF KOALA GUMMY BEARS 100G"
"i2c1508169a2","GOODY GOOD STUFF SOUR FRUIT SALAD 100G"
"i2c1508179a","CODORNIU CUVEE BARCELONA BRUT 75CL"
"i2c1508186a","OEP STAND N STUFF TORTILLAS 193G"
"i2c1508186a","OEP STANDNSTUFF EXTMILD SOFT TACOKIT329G"
"i2c1508186a","OEP STANDNSTUFF SOFTTACO SMOKYBBQKIT350G"
"i2c1508186a","OEP STND N STUF TACO KIT GAR&PAPRIK 312G"
"i2c1508186a2","OEP STANDNSTUFF EXTMILD SOFT TACOKIT329G"
"i2c1508186a2","OEP STANDNSTUFF SOFTTACO SMOKYBBQKIT350G"
"i2c1508203a","SNOG ORIGINAL 450ML"
"i2c1508203a","SNOG PASSIONFRUIT  450ML"
"i2c1508203a","SNOG STRAWBERRY & RASPBERRY 450ML"
"i2c1508204a","CAPRI SUN FRUIT CRUSH TROPICAL 5X200ML"
"i2c1508204a","CAPRI SUN ORANGE 10X200ML"
"i2c1508204a","CAPRI SUN ORANGE NAS 10X200ML"
"i2c1508206a","NESQUIK HOT CHOCOLATE 200G"
"i2c1508206a","NESQUIK HOT CHOCOLATE 400G"
"i2c1508206a","NESQUIK HOT CHOCOLATE 500G"
"i2c1508223a","KNORR BEEF STOCK POT GEL 4S 112G"
"i2c1508250a","NAKED COCONUT WATER 1L"
"i2c1508252a","KETTLE CHEFS SIGNATURE DUCK CRISPS 150G"
"i2c1508252a","KETTLE CHEFS SIGNATURE SALT CRISPS 150G"
"i2c1508252a","KETTLE CHEFS SIGNATURE WENSLEYDALE 150G"
"i2c1508254a","EK MANGO&PUMPKIN SMOOSHY SNACK 4X100G"
"i2c1508254a","EK PINEAPPLE&COCONUT FRUITY BARS 5X20G"
"i2c1508254a","EK RASPBERRY&MANGO FRUITY BARS 5X20G"
"i2c1508254a","EK STRAWBERRY&BEETROOT SMOOSHY SNK4X100G"
"i2c1508257a","JACK DANIELS 70CL"
"i2c1508257a","JACK DANIELS LTD ED SINGLE BARREL 70CL"
"i2c1508257a","JACK DANIELS SINGLE BARREL 70CL"
"i2c1508257a","JACK DANIELS TENNESSEE HONEY 70CL"
"i2c1508257aS","SOUTHERN COMFORT 70CL"
"i2c1508265a","ORAL B PRO CROSS ACTION 2000 BRUSH"
"i2c1508265a","ORAL B STAGE 3 TOOTHBRUSH"
"i2c1508265a","ORAL B TPASTE PRO EXPERT CLEAN MINT 75ML"
"i2c1508265a","ORAL B VITALITY STAGES AVENGERS TBRUSH"
"i2c1508281a","MR KIPLING BELG CHOC DELECTABLE WHIRL X4"
"i2c1508281a","MR KIPLING SLTD CRML DELECTABLE WHIRL X4"
"i2c1509002a","JS BEEF LASAGNE 430G"
"i2c1509002a","JS MACARONI CHEESE 430G"
"i2c1509002a","JS SPAGHETTI CARBONARA 430G"
"i2c1509004a","PHILADELPHIA 180G"
"i2c1509004a2","PHILADELPHIA 180G"
"i2c1509004a2","PHILADELPHIA 280G"
"i2c1509010a","NATURES PATH GLF MESA SUNRISE 355G"
"i2c1509010a","NATURES PATH GLUTEN FREE OS 325G"
"i2c1509014a","RIBENA WINTER SPICE 850ML"
"i2c1509016a","AUNT BESSIES 12 YORKSHIRE PUDDINGS 220G"
"i2c1509016a","AUNT BESSIES HOMESTYLE ROAST POTS 907G"
"i2c1509016a2","AUNT BESSIES 12 YORKSHIRE PUDDINGS 220G"
"i2c1509016a2","AUNT BESSIES HOMESTYLE ROAST POTS 907G"
"i2c1509018a","CADBURY BUTTERSCOTCH HOT CAKES X2"
"i2c1509018a","CADBURY CHOCOLATE HOT CAKES X2"
"i2c1509022a","KENCO MILLICANO DARK ROAST COFFEE 95G"
"i2c1509029a","J2O MIDNIGHT FOREST 4X275ML"
"i2c1509030a","LINDT MASTER CHOCOLATIER COLLECTION 144G"
"i2c1509030a","LINDT MASTER CHOCOLATIER COLLECTION 305G"
"i2c1509030a","LINDT MASTER CHOCOLATIER TRUFFLES 83G"
"i2c1509042a","OLD MOUT CIDER GLASS"
"i2c1509042a","OLD MOUT CIDER KIWI & LIME 500ML"
"i2c1509042a","OLD MOUT CIDER SUMMER BERRIES 500ML"
"i2c1509042a","OLD MOUT PASSIONFRUIT & APPLE 500ML"
"i2c1509042a","OLD MOUT POMEGRANATE & STRAWBERRY 500ML"
"i2c1509046a","PHILADELPHIA WHIPPED GARLIC & HERBS 140G"
"i2c1509046a","PHILADELPHIA WHIPPED OLIVES 140G"
